match_id;bachelor01_university;bachelor01_university_standardiz;bachelor01_degree;bachelor01_degree_standardized;bachelor01_major;bachelor01_major_standardized;bachelor02_university;bachelor02_university_standardiz;bachelor02_degree;bachelor02_degree_standardized;bachelor02_major;bachelor02_major_standardized;master01_university;master01_university_standardized;master01_degree;master01_degreestandadized;master01_major;master01_major_standardized;master02_university;master02_university_standardized;master02_degree;master02_degree_standardized;master02_major;master02_major_standardized;mba01_university;mba01_university_standardized;mba01_degree;mba01_degree_standardized;mba02_university;mba02_university_standardized;mba02_degree;mba02_degree_standardized;phd01_university;phd01_university_standardized;phd01_degree;phd01_degree_standardized;phd01_major;phd01_major_standardized;phd02_university;phd02_university_standardized;phd02_degree;phd02_degree_standardized;phd02_major;phd02_major_standardized;jd01_university;jd01_university_standardized;jd01_degree;jd01_degree_standardized
45337;Cornell University;Cornell University;BS;Bachelor;Electrical Engineering and Computer Science;Engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43077;University of Alberta;University of Alberta;BS;Bachelor;Biology and Chemistry;Chemistry;;;;;.;.;University of Alberta;University of Alberta;Degree;Master;Civil Engineering ;Engineering;;;;;.;.;University of Western Ontario;University of Western Ontario;Executive Development Program;MBA;;;;;;;;;.;.;;;;;.;.;;;;
47101;McGill University;McGill University;BA;Bachelor;English Literature;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28332;University of Toronto;University of Toronto;BS;Bachelor;;;;;;;;;;;;;;;;;;;;;Schulich School of Business - York University;York University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
5243;University of Paris;Pantheon-Sorbonne University;Bachelor's Degree;Bachelor;Literature;Other;;;Bachelor's Degree;Bachelor;Biochemistry and Immunology;Chemistry;University of Montpellier;Other;MD;Master;;;;;;;;;;;;;;;;;University of Montpellier;Other;PhD;PhD;Biochemistry;Chemistry;;;;;;;;;;
5344;Stanford University;Stanford University;BS;Bachelor;Molecular Biology;Biology;;;;;;;Yale School of Medicine (Yale-New Haven Medical Center);Yale University;MD;Master;Medicine;Medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31876;Graduate Institute of International Studies (HEI);University of Geneva;BA;Bachelor;international public law and political science;Law;;;;;;;;;;;;;;;;;;;Wharton School, University of Pennsylvania;University of Pennsylvania;MBA;MBA;John F Kennedy School of Government, Harvard University;Harvard University;Executive Master's Degree;MBA;;;;;;;;;;;;;;;;
22551;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Lewis & Clark College;Lewis & Clark College;BA;Bachelor;International Affairs;Other;;;;;;;Columbia University;Columbia University;MA;Master;International Affairs;Other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
