11513;University of New Hampshire;University of New Hampshire;BA;Bachelor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43850;Clemson University;Clemson University;BSc;Bachelor;;;;;;;;;;;;;;;;;;;;;Unknown Organisation;other;PhD;PhD;;;;;;;;;;;;
46113;;;;;;;;;;;;;;;;;;;;;;;;;University of Glasgow;University of Glasgow;PhD;PhD;;;;;;;;;;;;
45601;;;;;;;;;;;;;;;;;Harvard Business School;Harvard Business School;MBA;MBA;;;;;;;;;;;;;;;;;;;;
41385;University College Dublin (UCD);University College Dublin;BE;Bachelor;;;;;University of Missouri;University of Missouri;MS;Master;;;;;Harvard Business School;Harvard University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
47119;University of Mumbai (University of Bombay prior to 09/1996);University of Mumbai;BSc;Bachelor;;;;;Wake Forest University;Wake Forest University;MS;Master;University of Mumbai (University of Bombay prior to 09/1996);University of Mumbai;MSc;Master;;;;;;;;;Wake Forest University;Wake Forest University;PhD;PhD;;;;;;;;;;;;
46084;Rice University;;Bachelor;Bachelor;;;;;University of Texas Health Science Center at Houston;;Master;Master;;;;;;;;;;;;;;;;;;;;;;;;;Duke University;;Other;Other
41097;University of Pittsburgh;University of Pittsburgh;BS;Bachelor;;;;;;;;;;;;;Stanford University;Stanford University;MBA;MBA;;;;;;;;;;;;;;;;;;;;
42772;;;;;;;;;_cole Polytechnique - Paris;Ecole Polytechnique - Paris;Graduated;Master;_cole Nationale du G¨¦nie Rural des Eaux et des For¨ºts;Ecole Nationale du Genie Rural des Eaux et des For¨ºts;Graduated;Master;;;;;;;;;;;;;;;;;;;;;;;;
41418;;;;;;;;;University of Liverpool;;Master;Master;;;;;Harvard;;MBA;MBA;;;;;University of Melbourne;;PhD;PhD;;;;;;;;;;;;
41312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43839;;;;;;;;;Universite de Paris (University of Paris);;Master;Master;;;;;Columbia University;;MBA;MBA;;;;;;;;;;;;;;;;;;;;
10875;Odense University;Odense University;BBA;Bachelor;;;;;Odense University;Odense University;MSc;Master;;;;;;;;;;;;;K_benhavns Universitet (University of Copenhagen);University of Copenhagen;PhD;PhD;;;;;;;;;;;;
